tehsil,markaz,name,gender,level,category,lat,lng
KHUSHAB,KATHA SAGRAL SOUTH (MALE),38210408 - GPS KATHA SAGHRAL,Male,Primary,SED,32.511407,72.440054
KHUSHAB,KATHA SAGRAL NORTH (MALE),38210410 - GES KUPPER,Male,Middle,SED,32.6153674,72.5330737
KHUSHAB,KATHA SAGRAL WEST (MALE),38210411 - GES MALWAL,Male,Middle,SED,32.50521,72.37242
KHUSHAB,KATHA SAGRAL WEST (MALE),38210412 - GPS NALLI GHARBI,Male,Primary,SED,32.486912,72.317364
KHUSHAB,KATHA SAGRAL WEST (MALE),38210414 - GPS NAWAN LOK KATHA SAGHRAL,Male,Primary,SED,32.50432,72.44407
KHUSHAB,KATHA SAGRAL NORTH (MALE),38210415 - GPS NO 2 PAIL,Male,Primary,SED,32.633609,72.4600944
KHUSHAB,JAUHARABAD EAST (MALE),38210416 - GPS NOORI NARI,Male,Primary,SED,32.467397,72.413127
KHUSHAB,KATHA SAGRAL NORTH (MALE),38210417 - GPS NO. 2 PADHRAR,Male,Primary,PSRP-I,32.646863,72.513315
KHUSHAB,KATHA SAGRAL NORTH (MALE),38210418 - GPS NO. 1 PADHRAR,Male,Primary,SED,32.658032,72.498113
KHUSHAB,KATHA SAGRAL NORTH (MALE),38210419 - GES NO. 1 PAIL,Male,Middle,SED,32.6344363,72.4600247
KHUSHAB,KATHA SAGRAL NORTH (MALE),38210420 - GPS PIRHA,Male,Primary,PSRP-I,32.651159,72.442224
KHUSHAB,RODA SOUTH (MALE),38210423 - GPS ALI KHAN KHAIL,Male,Primary,SED,32.050058,72.027362
KHUSHAB,RODA SOUTH (MALE),38210424 - GPS ALI PUR RODA,Male,Primary,SED,32.075992,72.105372
KHUSHAB,JAUHARABAD SADAR (MALE),38210425 - GES BOLA,Male,Middle,SED,32.330223,72.250234
KHUSHAB,MITHA TIWANA WEST (MALE),38210426 - GPS CANAL COLONY MITHA TIWANA,Male,Primary,SED,32.25359,72.10963
KHUSHAB,MITHA TIWANA SADAR (MALE),38210427 - GPS CHAK NO. 42 MB,Male,Primary,SED,32.23851,72.15117
KHUSHAB,MITHA TIWANA SADAR (MALE),38210428 - GPS CHAK NO. 43 MB,Male,Primary,SED,32.23559,72.17261
KHUSHAB,MITHA TIWANA SADAR (MALE),38210430 - GPS CHAK NO. 41 MB,Male,Primary,SED,32.22945,72.15718
KHUSHAB,MITHA TIWANA SADAR (MALE),38210431 - GPS DERA AFZAL BHAIL,Male,Primary,PSRP-I,32.175673,72.136423
KHUSHAB,JABBI SHARIF NORTH (MALE),38210432 - GPS DERA BHASEEN,Male,Primary,SED,32.3847799,72.2408359
KHUSHAB,MITHA TIWANA WEST (MALE),38210433 - GPS DERA FEROZ HAMDI,Male,Primary,SED,32.2519,72.11763
KHUSHAB,MITHA TIWANA SADAR (MALE),38210434 - GPS DHLIAN WALA,Male,Primary,SED,32.260688,72.091831
KHUSHAB,RODA SOUTH (MALE),38210435 - GPS DHORI LUKOO,Male,Primary,SED,32.075634,72.104031
KHUSHAB,RODA NORTH (MALE),38210436 - GPS DHEEDIAN WALA,Male,Primary,PSRP-I,32.112359,72.172526
KHUSHAB,RODA NORTH (MALE),38210437 - GPS DOST MUHAMMAD AWAN,Male,Primary,PSRP-I,32.069608,72.093293
KHUSHAB,JAUHARABAD SADAR (MALE),38210440 - GES NO. 2 HADALI,Male,Middle,SED,32.286214,72.196276
KHUSHAB,MITHA TIWANA WEST (MALE),38210441 - GPS JHUGI MANDAY,Male,Primary,SED,32.31151,72.1403
KHUSHAB,RODA NORTH (MALE),38210442 - GPS KHAKHAN WALA,Male,Primary,SED,32.01066992,72.11715393
KHUSHAB,RODA SOUTH (MALE),38210443 - GPS LOHARAN WALA,Male,Primary,PSRP-II,32.083501,72.044378
KHUSHAB,RODA NORTH (MALE),38210444 - GES MAMKAN WALA,Male,Middle,SED,32.09501729,72.04997163
KHUSHAB,JAUHARABAD SOUTH (MALE),38210447 - GPS MUHAMMAD BIN QASIM COLONY,Male,Primary,SED,32.24915,72.24762
KHUSHAB,MITHA TIWANA EAST (MALE),38210448 - GPS MUHAMMAD KHAIL,Male,Primary,SED,32.10064,72.17989
